ward_id,MAE,RMSE,MAPE
W001,1041.9352689911145,1355.8098388408707,52.415577519284916
W002,864.6020061513454,890.5926508296543,162.65495282964739
W003,2390.5882992902275,2755.9220365973515,62.92377750669967
W004,2552.2215253973513,3046.279193350367,60.19758917657715
W005,898.2312575255478,1121.9646086608454,50.31830528943504
W006,1153.8500360849057,1246.577978758522,176.1101314093307
W007,2616.9904387450465,2833.2665170086107,183.6298234858058
W008,6886.470826116826,7153.586337418061,237.36081018842117
W009,2821.543289369935,3217.3662443648864,132.62486364884055
W010,4493.008726737453,5110.846107055128,136.48136647216847
W011,2455.29354613424,2476.9602235845546,206.60472562926677
W012,3726.3812214735776,4683.245058310872,104.8993962489821
W013,271.39977594476596,403.9887280490931,63.826951064096626
W014,515.4560135337643,552.6568815604836,139.94443248998402
W015,872.3907887042413,1010.5505704976387,127.6568686265067
W016,1405.8195772372935,1527.1165216449467,200.21946715273185
W017,4364.603289293681,4520.581375457865,176.78267757124829
W018,3943.017388449724,4206.840650648898,150.06896646568563
W019,1841.7254714120409,2124.9161061357204,96.9634135067228
W020,1788.3330024291681,2075.9450439910815,71.64424649599819
W021,3502.9718167525007,3863.3639278406777,108.85522021427929
W022,934.9688290247614,1001.7422895140039,169.6966998709238
W023,2840.5862017727054,3039.7604766956338,128.98570932857956
W024,5362.370604801558,6211.407605609353,134.7453631058676
W025,3111.4680568984913,3520.9826075576157,122.73412163196708
W026,2715.384480124406,2839.5955299957827,159.41619934387748
W027,2276.488485977371,2492.414449154495,171.588024389672
W028,930.0924582768774,1003.5886190021511,142.32355683545947
W029,617.2586113743363,650.6222779128059,179.0350833524954
W030,1941.8015579148032,2138.750678536359,103.97869185445872
W031,4860.443041844638,5498.240630802468,132.34891261796164
W032,304.35012911769326,366.2312852041749,71.31859003036814
W033,195.97687895123224,280.9061522764314,36.97306826377869
W034,4914.099810394029,5506.611469195571,176.0813465696961
W035,1714.6357399103683,1961.6654550793576,154.1735145420417
